Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
FSTL3	follistatin-like 3 (secreted glycoprotein)	10272	19:676392-683385	1		13.3	yes		B-CLL			L	Dom	"oncogene, fusion"	T	CCND1			"CCDS12040.1,ENSG00000070404.5,FLRG,FSRP,NM_005860.2,NP_005851.1,O95633"
FUBP1	far upstream element (FUSE) binding protein 1	8880	1:78414090-78444770	1	Yes	31.1	yes		oligodendroglioma			O	Rec	oncogene	"F, N"				"CCDS683.1,ENSG00000162613.12,FBP,FUBP,NM_003902.3,NP_003893.2,Q96AE4"
FUS	"fusion, derived from t(12;16) malignant liposarcoma"	2521	16:31191431-31203127	1	Yes	11.2	yes		"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma"			"M, L"	Dom	"TSG, fusion"	T	"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2"			"ALS6,CCDS10707.1,ENSG00000089280.14,FUS1,HNRNPP2,NM_004960.3,NP_001164105.1,NP_001164408.1,NP_004951.1,P35637,TLS,hnRNP-P2"
GAS7	growth arrest-specific 7	8522	17:9817167-10101868	1	Yes	13.1	yes		AML*			L	Dom	fusion	T	KMT2A			"CCDS11152.1,ENSG00000007237.14,KIAA0394,MGC1348,NM_201433.1,NP_958839.1,O60861"
GATA1	GATA binding protein 1 (globin transcription factor 1)	2623	X:48644962-48652715	1	Yes	11.23	yes		megakaryoblastic leukaemia of Downs syndrome			L	Dom	"oncogene, TSG"	"Mis, F"				"CCDS14305.1,ENSG00000102145.9,ERYF1,GATA-1,GF1,NF-E1,NFE1,NM_002049.3,NP_002040.1,P15976"
GATA2	GATA binding protein 2	2624	3:128198270-128212028	1	Yes	21.3	yes		AML (CML blast transformation)			L	Dom	oncogene	Mis				"CCDS3049.1,ENSG00000179348.7,NFE1B,NM_032638.4,NP_116027.2,P23769"
GATA3	GATA binding protein 3	2625	10:8096656-8117161	1	Yes	14	yes		breast			E	Rec	"oncogene, TSG"	"F, N, S"		yes	"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)"	"CCDS31143.1,ENSG00000107485.11,HDR,NM_002051.2,NP_002042.1,NP_001002295.1,P23771"
GLI1	GLI family zinc finger 1	2735	12:57853921-57866045	2		13.3	yes		"CRC, oesophagus cancer"			E		"oncogene, fusion"	"T, F"		yes	IBD	"CCDS8940.1,ENSG00000111087.5,GLI,NM_005269.2,NP_005260.1,P08151"
GMPS	guanine monphosphate synthetase	8833	3:155588325-155661815	2		25.31	yes		AML			L	Dom	fusion	T	KMT2A			"CCDS46941.1,ENSG00000163655.11,GATD7,NM_003875.2,NP_003866.1,P49915"
GNA11	"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"	2767	19:3094408-3124002	1	Yes	13.3	yes		"uveal melanoma, primary central nervous system melanocytic neoplasms"			"E, O"	Dom	oncogene	Mis				"CCDS12103.1,ENSG00000088256.4,FBH,FBH2,FHH2,HHC2,NM_002067.2,NP_002058.2,P29992"
GNAQ	"guanine nucleotide binding protein (G protein), q polypeptide"	2776	9:80331003-80646374	1	Yes	21.2	yes		"uveal melanoma, primary central nervous system melanocytic neoplasms"			"E, O"	Dom	oncogene	Mis				"CCDS6658.1,ENSG00000156052.6,G-ALPHA-q,GAQ,NM_002072.3,NP_002063.2,P50148"
GNAS	"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"	2778	20:57427769-57486247	1	Yes	13.32	yes		"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia"			"E, M"	Dom	oncogene	Mis		yes	"McCune-Albright syndrome; pseudohypoparathyroidism, type IA"	"CCDS46622.1,ENSG00000087460.19,GNAS1,GNASXL,GPSA,NESP,NESP55,NM_080425.2,NP_001070958.1,NP_536350.2,Q5JWF2,SCG6,SgVI"
GOLGA5	"golgi autoantigen, golgin subfamily a, 5  (PTC5)"	9950	14:93260576-93306308	1		32.12	yes		"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	RET			"CCDS9905.1,ENSG00000066455.8,GOLIM5,NM_005113.3,NP_005104,NP_005104.3,Q8TBA6,golgin-84,ret-II,rfg5"
GOLPH3	Golgi Phosphoprotein 3	64083	5:32124810-32174456	2		13.3	yes		"breast cancer, NSCLC, ovarian cancer"			E			A				"CCDS3896.1,ENSG00000113384.9,GOPP1,GPP34,MIDAS,NM_022130.3,NP_071413.1,Q9H4A6,Vps74"
GOPC	golgi associated PDZ and coiled-coil motif containing	57120	6:117881432-117923527	1		22.1	yes		"glioblastoma, cholangiocarcinoma, borderline ovarian"			"E, O"	Dom	fusion	T	ROS1			"CAL,CCDS5117.1,ENSG00000047932.9,FIG,GOPC1,NM_020399.3,NP_065132.1,PIST,Q9HD26,dJ94G16.2"
GPC3	glypican 3	2719	X:132669782-133119673	1	Yes	26.2		yes		Wilms tumour	Simpson-Golabi-Behmel syndrome	O	Rec/X	"oncogene, TSG"	"D, Mis, N, F, S"				"CCDS55496.1,DGSX,ENSG00000147257.9,NM_001164617.1,NP_001158089.1,OCI-5,P51654,SDYS,SGB,SGBS,SGBS1"
GPC5	glypican 5	2262	13:92050929-93519490	2		31.3	yes		lung adenocarcinoma			E		TSG	D				"CCDS9468.1,ENSG00000179399.9,NM_004466.4,NP_004457.1,P78333"
GPHN	gephyrin (GPH)	10243	14:66974125-67648520	1		23.3	yes		AL			L	Dom	fusion	T	KMT2A			"CCDS9777.1,ENSG00000171723.11,KIAA1385,NM_020806.4,NP_065857.1,Q9NQX3"
GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	2903	16:9852376-10276611	1	Yes	13.2	yes		"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma"			E	Rec	TSG	"Mis, N, F, O"		yes	Focal epilepsy and speech disorder with or without mental retardation	"CCDS10539.1,ENSG00000183454.9,GluN2A,NMDAR2A,NM_000833.3,NP_000824.1,Q12879"
GRM3	glutamate metabotropic receptor 3	2913	7:86273230-86494200	2		21.12	yes		"melanoma, oral SCC"			E		oncogene	"Mis, A"				"CCDS5600.1,ENSG00000198822.6,GPRC1C,MGLUR3,NM_000840.2,NP_000831.2,Q14832,mGlu3"
H3F3A	"H3 histone, family 3A"	3020	1:226251678-226259702	1	Yes	42.12	yes		glioma			O	Dom	oncogene	Mis				"CCDS1550.1,ENSG00000163041.5,H3.3A,H3F3,P84243"
H3F3B	"H3 histone, family 3B (H3.3B)"	3020	17:73772515-73775860	1	Yes	25.1	yes		chondroblastoma			M	Dom	oncogene	Mis				"CCDS11729.1,ENSG00000132475.4,H3.3B,NM_005324.3,NP_005315.1,P84243"
HERPUD1	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"	9709	16:56965960-56977793	1		13	yes		prostate			E	Dom	fusion	T	ERG			"CCDS10771.1,ENSG00000051108.10,HERP,KIAA0025,Mif1,NM_014685.3,NP_001010989.1,NP_001259032.1,NP_055500.1,Q15011,SUP"
HEY1	hairy/enhancer-of-split related with YRPW motif 1	23462	8:80676248-80680092	1	Yes	21.13	yes		mesenchymal chondrosarcoma			M	Dom	"oncogene, fusion"	T	NCOA2			"CCDS43749.1,CHF-2,CHF2,ENSG00000164683.12,HERP2,HESR-1,HESR1,HRT-1,NM_001040708.1,NP_001035798.1,Q9Y5J3,bHLHb31"
HIF1A	hypoxia inducible factor 1 alpha subunit	3091	14:62164340-62214489	1	Yes	23.2	yes		"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic"			"E, O"	Dom	oncogene	"Mis, F, N"				"CCDS58324.1,ENSG00000100644.12,HIF-1alpha,HIF1,MOP1,NM_001243084.1,NP_001230013.1,PASD8,Q16665,bHLHe78"
HIP1	huntingtin interacting protein 1	3092	7:75162621-75368265	1	Yes	11.23	yes		"CMML, NSCLC"			"L, E"	Dom	"oncogene, fusion"	T	"PDGFRB, ALK"			"CCDS34669.1,ENSG00000127946.12,ILWEQ,NM_005338.6,NP_005329.3,O00291"
HIST1H3B	"histone cluster 1, H3b"	8350	6:26031817-26032288	1	Yes	22.2	yes		glioma			O	Dom	oncogene	Mis				"CCDS4573.1,ENSG00000124693.2,H3/l,H3FL,NM_003537.3,NP_003528.1,P68431"
HIST1H4I	"histone 1, H4i (H4FM)"	8294	6:27107076-27108418	1		22.1	yes		NHL			L	Dom	fusion	T	BCL6			"CCDS4620.1,ENSG00000198339.3,H4/m,H4FM,NM_003495.2,NP_003486.1,P62805"
HLA-A	"major histocompatibility complex, class I, A"	3105	6:29909037-29913661	1		22.1	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1	yes	Carbamazepine-induced hypersensitivity syndrome	"CCDS34373.1,ENSG00000206503.7,P04439,P13746,P16188"
HLF	hepatic leukemia factor	3131	17:53342373-53402426	1		22	yes		ALL			L	Dom	"oncogene, fusion"	T	TCF3			"CCDS11585.1,ENSG00000108924.9,MGC33822,NM_002126.4,NP_002117.1,Q16534"
HMGA1	high mobility group AT-hook 1	3159	6:34204650-34214007	1		21.31	yes		"microfollicular thyroid adenoma, various benign mesenchymal tumours"			"E, M"	Dom	"oncogene, fusion"	T	?			"CCDS4789.1,ENSG00000137309.15,HMGIY,NM_145902.2,NP_665909.1,NP_665908.1,P17096"
HMGA2	high mobility group AT-hook 2 (HMGIC)	8091	12:66217911-66360075	1		14.3	yes		"lipoma, leiomyoma, pleomorphic salivary gland adenoma"			M	Dom	"oncogene, fusion"	T	"LHFP, RAD51B, LPP, COX6C, ACKR3, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT"			"BABL,CCDS44936.1,ENSG00000149948.9,HMGIC,LIPO,NM_003483.4,NP_003474.1,P52926"
HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	283651	15:45803349-45848300	2		21.1	yes		prostate			E	Dom	fusion	T	ETV1			
HNF1A	HNF1 homeobox A	6927	12:121416346-121440315	1	Yes	24.31	yes	yes	"hepatic adenoma, hepatocellular"	"hepatic adenoma, hepatocellular carcinoma"	familial hepatic adenoma	E	Rec	TSG	"Mis, F"		yes	"Maturity-onset diabetes of the young, TYPE III"	"CCDS9209.1,ENSG00000135100.13,HNF1,LFB1,MODY3,TCF1"
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181	7:26229547-26240366	1	Yes	15.2	yes		prostate			E	Dom	"oncogene, fusion"	T	ETV1			"CCDS43557.1,ENSG00000122566.16,HNRPA2B1,NM_031243.2,NP_112533.1,P22626"
HOOK3	hook homolog 3	84376	8:42752075-42885682	1		11.21	yes		papillary thyroid			E	Dom	fusion	T	RET			"CCDS6139.1,ENSG00000168172.4,HK3,NM_032410.3,NP_115786.1,Q86VS8"
HOXA11	homeo box A11	3207	7:27221134-27224835	1	Yes	15.2	yes		CML			L	Dom	"oncogene, TSG, fusion"	T	NUP98			"CCDS5411.1,ENSG00000005073.5,HOX1,HOX1I,NM_005523.5,NP_005514.1,P31270"
HOXA13	homeo box A13	3209	7:27234637-27239725	1		15.2	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"CCDS5412.1,ENSG00000106031.6,HOX1,HOX1J,NM_000522.4,NP_000513.2,P31271"
HOXA9	homeo box A9	3205	7:27202054-27205149	1		15.2	yes		AML*			L	Dom	"oncogene, TSG, fusion"	T	"NUP98, MSI2"			"CCDS5409.1,ENSG00000078399.11,HOX1,HOX1G,NM_152739.3,NP_689952.1,P31269"
HOXC11	homeo box C11	3227	12:54366910-54371427	1		13.13	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"CCDS8867.1,ENSG00000123388.4,HOX3H,O43248"
HOXC13	homeo box C13	3229	12:54332535-54340328	1		13.13	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"CCDS8865.1,ENSG00000123364.3,HOX3,HOX3G,NM_017410.2,NP_059106.2,P31276"
HOXD11	homeo box D11	3237	2:176972014-176974722	1		31.1	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"CCDS2265.1,ENSG00000128713.11,HOX4,HOX4F,NM_021192.2,NP_067015.2,P31277"
HOXD13	homeo box D13	3239	2:176957619-176960666	1		31.1	yes		AML*			L	Dom	"oncogene, fusion"	T	NUP98			"CCDS2264.2,ENSG00000128714.5,HOX4I,NM_000523.3,NP_000514.2,P35453,SPD"
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	3265	11:532243-535550	1	Yes	15.5	yes	yes	"infrequent sarcomas, rare other tumour types"	"rhabdomyosarcoma, ganglioneuroblastoma, bladder"	Costello syndrome	"E, L, M"	Dom	oncogene	Mis				"CCDS7698.1,ENSG00000174775.12,HRAS1,NM_005343.2,NP_001123914.1,NP_005334.1,P01112"
HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	3320	14:102547386-102606023	1		32.31	yes		NHL			L	Dom	fusion	T	BCL6			"CCDS32160.1,ENSG00000080824.14,FLJ31884,HSP90N,HSPC1,HSPCA,Hsp89,Hsp90,NM_001017963.2,NP_001017963.2,P07900"
HSP90AB1	"heat shock protein 90kDa alpha (cytosolic), class B member 1"	3326	6:44215603-44221620	1		21.1	yes		NHL			L	Dom	fusion	T	BCL6			"CCDS4909.1,ENSG00000096384.15,HSPC2,HSPCB,P08238"
ID3	"inhibitor of DNA binding 3, HLH protein"	3399	1:23884409-23886285	2		36.12	yes		Burkitt lymphoma			L		TSG	"Mis, N"				"CCDS237.1,ENSG00000117318.8,HEIR-1,NM_002167.4,NP_002158.3,Q02535,bHLHb25"
IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	3417	2:209100989-209119046	1	Yes	34	yes		glioblastoma			O	Dom	oncogene	Mis				"CCDS2381.1,ENSG00000138413.9,NM_001282387.1,NP_001269316.1,O75874"
IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	3418	15:90626277-90645736	1	Yes	26.1	yes		glioblastoma			O	Dom	oncogene	Mis				"CCDS10359.1,ENSG00000182054.5,NM_002168.2,NP_002159.2,P48735"
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	10644	3:185361527-185542844	2		27.2	yes		lymphoma			L		TSG	D		yes	"Diabetes mellitus, noninsulin-dependent, susceptibility"	"CCDS3273.2,ENSG00000073792.11,IMP-2,NM_006548.4,NP_006539.3,Q9Y6M1"
IGH	immunoglobulin heavy locus	3492	14:-	1	Yes	32.33	yes		"MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS"			L	Dom	fusion	T	"MYC, FGFR3, PAX5, FCRL4, IRF4, CCND1, BCL9, BCL8, BCL6, BCL2, BCL3, BCL10, BCL11A. LHX4, DDX6, NFKB2, PAFAH1B2, PCSK7, CRLF2"			
IGK	immunoglobulin kappa locus	50802	2:-	1		12	yes		"Burkitt lymphoma, B-NHL"			L	Dom	fusion	T	"MYC, KDSR"			
IGL	immunoglobulin lambda locus	3535	22:-	1		11.2	yes		Burkitt lymphoma			L	Dom	fusion	T	"BCL9, MYC, CCND2"			
IKBKB	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"	3551	8:42128820-42189126	1	Yes	11.21	yes		SMZL			L	Dom	oncogene	Mis		yes	Immunodeficiency 15	"CCDS6128.1,ENSG00000104365.9,IKK-beta,IKK2,IKKB,NFKBIKB,NM_001556.2,NP_001547.1,O14920"
IKZF1	IKAROS family zinc finger 1	10320	7:50348318-50470264	1	Yes	12.2	yes		"ALL, DLBCL"			L	Dom/Rec	"TSG, fusion"	"D,T"	BCL6			"CCDS59055.1,ENSG00000185811.12,Hs.54452,IKAROS,LyF-1,NP_001207694.1,PPP1R92,Q13422,ZNFN1A1,hIk-1"
IKZF3	IKAROS Family Zinc Finger 3	22806	17:37921198-38020441	1		12	yes		"B-ALL, CLL, breast cancer, colorectal cancer"			"L, E"		"oncogene, TSG, fusion"	"D, Mis, F, N, T"	"NAGLU, VAPB"			"Aiolos,CCDS11346.1,ENSG00000161405.12,NM_012481.4,NP_036613.2,NP_001271445.1,Q9UKT9,ZNFN1A3"
IL2	interleukin 2	3558	4:123372625-123377880	1		27	yes		intestinal T-cell lymphoma			L	Dom	fusion	T	TNFRSF17			"CCDS3726.1,ENSG00000109471.4,IL-2,NM_000586.3,NP_000577.2,P60568,TCGF"
IL21R	interleukin 21 receptor	50615	16:27413483-27461879	1		12.1	yes		NHL			L	Dom	fusion	T	BCL6			"CCDS10630.1,CD360,ENSG00000103522.11,NM_181078.2,NP_851564.1,Q9HBE5"
IL6ST	"interleukin 6 signal transducer (gp130, oncostatin M receptor)"	3572	5:55230923-55290821	1	Yes	11.2	yes		hepatocellular carcinoma			E	Dom	oncogene	O				"CCDS3971.1,CD130,ENSG00000134352.15,GP130,NM_175767.2,NP_001177910.1,NP_786943.1,NP_002175.2,P40189"
IL7R	interleukin 7 receptor	3575	5:35856951-35879705	1	Yes	13.2	yes		"ALL, ETP ALL"			L	Dom	oncogene	"Mis, O"		yes	Severe combined immune deficiency	"CCDS3911.1,CD127,ENSG00000168685.10,IL7RA,NM_002185.3,NP_002176.2,P16871"
IRF4	interferon regulatory factor 4	3662	6:391739-411447	1		25.3	yes		MM			L	Dom	"oncogene, TSG, fusion"	T	IGH			"CCDS4469.1,ENSG00000137265.10,LSIRF,MUM1,NM_002460.3,NP_001182215.1,NP_002451.2,Q15306"
IRS4	insulin receptor substrate 4	8471	X:107975712-107979651	1	Yes	22.3	yes		"glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL"			"E, O, M, L"		"oncogene, TSG"	"Mis, F, T"	TRB			"CCDS14544.1,ENSG00000133124.10,IRS-4,NM_003604.2,NP_003595.1,O14654,PY160"
ISX	intestine specific homeobox	91464	22:35462129-35483380	2		12.3	yes		melanoma			E			Mis				"CCDS33640.1,ENSG00000175329.8,NM_001008494.1,NP_001008494.1,Q2M1V0,RAXLX"
ITGAV	integrin subunit alpha V	3685	2:187454792-187545628	2		32.1	yes		large intestine carcinoma			E			F				"CCDS2292.1,CD51,ENSG00000138448.7,MSK8,NM_002210.4,NP_002201,NP_002201.1,P06756,VNRA,VTNR"
ITK	IL2-inducible T-cell kinase	3702	5:156607837-156682201	1		33.3	yes		peripheral T-cell lymphoma			L	Dom	fusion	T	SYK			"CCDS4336.1,EMT,ENSG00000113263.8,LYK,NM_005546.3,NP_005537.3,PSCTK2,Q08881"
JAK1	Janus kinase 1	3716	1:65298912-65432187	1	Yes	31.3	yes		ALL			L	Dom	"oncogene, TSG"	Mis				"CCDS41346.1,ENSG00000162434.7,JAK1A,JAK1B,JTK3,NM_002227.2,NP_002218.2,P23458"
JAK2	Janus kinase 2	3717	9:4985245-5128183	1	Yes	24.1	yes		"ALL, AML, MPN,  CML"			L	Dom	"oncogene, fusion"	"T, Mis, O"	"ETV6, PCM1, BCR"			"CCDS6457.1,ENSG00000096968.8,JTK10,NM_004972.3,NP_004963.1,O60674"
JAK3	Janus kinase 3	3718	19:17935595-17958841	1	Yes	13.11	yes		"acute megakaryocytic leukaemia, ETP ALL"			L	Dom	oncogene	Mis				"CCDS12366.1,ENSG00000105639.14,JAK-3,JAK3_HUMAN,JAKL,L-JAK,LJAK,NM_000215.3,NP_000206.2,P52333"
JAZF1	juxtaposed with another zinc finger gene 1	221895	7:27870192-28220362	2		15.2	yes		endometrial stromal tumour			M	Dom	fusion	T	SUZ12			"CCDS5416.1,DKFZp761K2222,ENSG00000153814.7,NM_175061.3,NP_778231.2,Q86VZ6,TIP27,ZNF802"
JUN	jun oncogene	3725	1:59246465-59249785	1		32.1	yes		sarcoma			M	Dom	oncogene	A				"AP-1,CCDS610.1,ENSG00000177606.5,NM_002228.3,NP_002219.1,P05412,c-Jun"
KAT6A	K(lysine) acetyltransferase 6A	7994	8:41786997-41909505	1		11.21	yes		AML			L	Dom	"oncogene, fusion"	"T, A"	"CREBBP, NCOA2, EP300"			"CCDS6124.1,ENSG00000083168.5,MOZ,MYST3,NM_001099412.1,NP_001092882.1,Q92794,RUNXBP2,ZC2HC6A,ZNF220"
KAT6B	K(lysine) acetyltransferase 6B	23522	10:76586383-76792380	1		22.2	yes		"AML, leiomyoma"			"L, M"	Dom	"TSG, fusion"	T	"CREBBP, KANSL1"		"Genitopatellar syndrome, Say-Barber-Biesecker/Young-Simpson syndrome"	"CCDS7345.1,ENSG00000156650.8,MOZ2,MYST4,Morf,NM_012330.3,NP_001243397.1,NP_036462.2,Q8WYB5,ZC2HC6B,qkf,querkopf"
KAT7	lysine acetyltransferase 7	11143	17:47865917-47906458	2		21.33	yes		CCRCC			E		oncogene	Mis				"CCDS11554.1,ENSG00000136504.7,HBO1,HBOA,MYST2,NM_007067.4,NP_008998.1,O95251,ZC2HC7"
KCNJ5	"potassium inwardly-rectifying channel; subfamily J; member 5"	3762	11:128761251-128790930	1		24.3	yes		adrenal adenoma			E	Dom	oncogene	Mis		yes	"Familial hyperaldosteronism type III, Long QT syndrome"	"CCDS8479.1,CIR,ENSG00000120457.7,GIRK4,KATP1,Kir3.4,LQT13,NM_000890.3,NP_000881.3,P48544"
KDM5A	"lysine (K)-specific demethylase 5A, JARID1A"	5927	12:389295-498620	1		13.33	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"CCDS41736.1,ENSG00000073614.7,JARID1A,NM_001042603.1,NP_001036068.1,P29375,RBBP2"
KDM5C	lysine (K)-specific demethylase 5C (JARID1C)	8242	X:53221334-53254604	1	Yes	11.22	yes		clear cell renal carcinoma			E	Rec	TSG	"N, F, S, Mis"		yes	 X-linked mental retardation syndromic Claes-Jensen-type.	"CCDS14351.1,DXS1272E,ENSG00000126012.7,JARID1C,MRX13,NM_004187.3,NP_004178.2,P41229,SMCX,XE169"
KDM6A	"lysine (K)-specific demethylase 6A, UTX"	7403	X:44732757-44971847	1	Yes	11.3	yes		"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types"			"E, L"	Rec	"oncogene, TSG"	"D, N, F, S"		yes	Kabuki syndrome	"CCDS14265.1,ENSG00000147050.10,NM_021140.2,NP_066963.2,O15550,UTX"
KDR	vascular endothelial growth factor receptor 2	3791	4:55944644-55991756	1	Yes	12	yes	yes	"NSCLC, angiosarcoma"	melanoma		E	Dom	oncogene	Mis				"CCDS3497.1,CD309,ENSG00000128052.8,FLK1,NM_002253.2,NP_002244.1,P35968,VEGFR,VEGFR2"
KDSR	3-ketodihydrosphingosine reductase	2531	18:60994959-61034743	1		21.33	yes		B-NHL			L	Dom	fusion	T	IGK			"CCDS11982.1,DHSR,ENSG00000119537.11,FVT1,NM_002035.2,NP_002026.1,Q06136,SDR35C1"
KEAP1	kelch like ECH associated protein 1	9817	19:10596796-10614417	1	Yes	13.2	yes		"NSCLC, breast carcinoma"			E		TSG	"Mis, N, F"				"CCDS12239.1,ENSG00000079999.9,INrf2,KIAA0132,KLHL19,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,NM_203500.1,NP_987096.1,Q14145"
KIAA1549	KIAA1549	57670	7:138522270-138666064	2		34	yes		pilocytic astrocytoma			O	Dom	fusion	T	BRAF			"CCDS56513.1,ENSG00000122778.5,Q9HCM3"
KIF5B	kinesin family member 5B	3799	10:32297938-32345359	1		11.22	yes		"NSCLC, Spitzoid tumour"			E	Dom	fusion	T	"RET, ALK"			"CCDS7171.1,ENSG00000170759.10,KNS,KNS1,NM_004521.2,NP_004512.1,P33176"
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3815	4:55524085-55606881	1	Yes	12	yes	yes	"GIST, AML, TGCT, mastocytosis, mucosal melanoma"	"GIST, epithelioma"	familial gastrointestinal stromal tumour	"L, M, O, E"	Dom	oncogene	"Mis, O"		yes	Piebald trait	"C-Kit,CCDS3496.1,CD117,ENSG00000157404.11,NM_001093772.1,NP_001087241.1,NP_000213.1,P10721,PBT,SCFR"
KLF4	Kruppel-like factor 4	9314	9:110247133-110251927	1	Yes	31.2	yes		meningioma			O	Dom	"oncogene, TSG"	Mis				"CCDS6770.2,ENSG00000136826.10,EZF,GKLF,NM_004235.4,NP_004226.3,O43474"
KLF6	Kruppel-like factor 6	1316	10:3818188-3827467	1		15.1	yes		"prostate, glioma"			"E, O"	Rec	TSG	"Mis, N"				"BCD1,CCDS7060.1,COPEB,CPBP,ENSG00000067082.10,GBF,NM_001300.5,NP_001153596.1,NP_001291.3,PAC1,Q99612,ST12,Zf9"
KLK2	kallikrein-related peptidase 2	3817	19:51376505-51383823	1		13.33	yes		prostate			E	Dom	fusion	T	ETV4			"CCDS12808.1,ENSG00000167751.8,P20151"
KMT2A	lysine (K)-specific methyltransferase 2A	4297	11:118307205-118397539	1	Yes	23.3	yes		"AML, ALL"			L	Dom	"oncogene, fusion"	"T, O"	"KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18"			"ALL-1,CCDS55791.1,CXXC7,ENSG00000118058.16,HRX,HTRX1,MLL,MLL1A,NM_005933.3,NP_005924.2,NP_001184033.1,Q03164,TRX1"
KMT2C	lysine (K)-specific methyltransferase 2C	58508	7:151832010-152133090	1	Yes	36.1	yes		medulloblastoma			O	Rec	TSG	N				"CCDS5931.1,ENSG00000055609.13,HALR,KIAA1506,MLL3,NM_170606.2,NP_733751.2,Q8NEZ4"
KMT2D	lysine (K)-specific methyltransferase 2D	8085	12:49412758-49449107	1	Yes	13.12	yes		"medulloblastoma, renal"			"O, E"	Rec	"oncogene, TSG"	"N, F, Mis"				"ALR,CAGL114,CCDS44873.1,ENSG00000167548.10,MLL2,MLL4,NM_003482.3,NP_003473.3,O14686,TNRC21"
KNL1	cancer susceptibility candidate 5	57082	15:40886218-40956540	1	Yes	15.1	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"AF15Q14,CASC5,CCDS42023.1,CT29,D40,ENSG00000137812.15,KIAA1570,MCPH4,PPP1R55,Q8NG31,Spc7,hKNL-1,hSpc105"
KNSTRN	kinetochore localized astrin/SPAG5 binding protein	90417	15:40674922-40686446	2		15.1	yes		SCC			E		oncogene	Mis				"C15orf23,CCDS42021.1,ENSG00000128944.9,FLJ14502,NM_033286.3,NP_150628.3,Q9Y448,SKAP,TRAF4AF1,kinastrin"
KRAS	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	3845	12:25362365-25403737	1	Yes	12.1	yes		"pancreatic, colorectal, lung, thyroid, AML, other tumour types"			"L, E, M, O"	Dom	oncogene	Mis				"CCDS8703.1,ENSG00000133703.7,KRAS1,KRAS2,NM_033360.2,NP_203524.1,P01116"
KTN1	kinectin 1 (kinesin receptor)	3895	14:56047035-56151297	1		22.3	yes		papillary thyroid			E	Dom	fusion	T	RET			"CCDS41957.1,CG1,ENSG00000126777.13,KIAA0004,KNT,NM_001079521.1,NP_001072989.1,Q86UP2"
